outcome	component	changepoint	effect_size
MI	Systolic_below_120	97.13333333333334	-0.07706891994142785
MI	Diastolic_below_120	57.06666666666667	-0.05913676820756033
MI	Mean_below_120	65	-0.09331794255541542
MI	Pulsepressure_below_120	42	-0.03533060686424468
AKI	Systolic_below_120	96.53333333333332	-0.07563450464044752
AKI	Diastolic_below_120	59	-0.05694812749324392
AKI	Mean_below_120	69	-0.08305819476773714
AKI	Pulsepressure_below_120	36.354838709677416	-0.036215146963329566
Death	Systolic_below_120	100.2	-0.10723588152244326
Death	Diastolic_below_120	60	-0.09489571733691059
Death	Mean_below_120	69	-0.13305516377057888
Death	Pulsepressure_below_120	48	-0.05608665498322827
